ProductID,ArrivalTime,WaitTime,Turnaround,Station1_Entry,Station1_Exit,Station2_Entry,Station2_Exit,Station3_Entry,Station3_Exit
1,0.001,0.002,1.506,0.001,0.402,0.403,1.005,1.005,1.507,
2,0.120,0.705,2.390,0.403,1.407,1.408,2.009,2.009,2.510,
3,0.261,1.107,2.852,0.704,1.808,2.009,2.610,2.611,3.113,
4,0.381,1.709,3.335,1.005,2.511,2.611,3.213,3.214,3.716,
5,0.540,2.111,3.778,1.407,3.214,3.215,3.816,3.818,4.319,
6,0.720,2.514,4.504,1.809,3.617,3.817,4.721,4.722,5.224,
7,0.901,3.820,5.526,2.110,3.718,4.119,5.925,5.926,6.427,
8,1.101,3.818,5.829,2.511,3.818,4.721,6.226,6.427,6.930,
9,1.300,4.521,6.432,2.813,3.919,5.023,6.527,6.930,7.733,
10,1.500,4.520,6.433,3.215,4.020,5.324,6.827,7.231,7.933,
